rnum,rank,targetDt,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,audiCnt,scrnCnt,showCnt,movieNmEn,genreAlt,repNationNm,repGenreNm
9,9,20170129,OLD,20168154,딥워터 호라이즌,2017-01-25 00:00:00,121176100,0.8,14526,355,575,Deepwater Horizon,"액션,드라마",미국,액션
1,1,20170130,OLD,20151228,공조,2017-01-18 00:00:00,6399470500,46.7,761071,1392,6123,Confidential Assignment,액션,한국,액션
2,2,20170130,OLD,20151229,더 킹,2017-01-18 00:00:00,3637450800,26.5,430477,1081,4612,The King,"범죄,드라마",한국,범죄
4,4,20170130,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,803385400,5.9,90436,576,1613,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
9,9,20170130,OLD,20168154,딥워터 호라이즌,2017-01-25 00:00:00,99799800,0.7,12235,347,548,Deepwater Horizon,"액션,드라마",미국,액션
1,1,20170131,OLD,20151228,공조,2017-01-18 00:00:00,2269168100,47.9,304003,1094,5160,Confidential Assignment,액션,한국,액션
2,2,20170131,OLD,20151229,더 킹,2017-01-18 00:00:00,1082210400,22.9,144604,982,4324,The King,"범죄,드라마",한국,범죄
3,3,20170131,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,366385800,7.7,47201,541,1936,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
7,7,20170131,OLD,20168154,딥워터 호라이즌,2017-01-25 00:00:00,62735700,1.3,8520,368,780,Deepwater Horizon,"액션,드라마",미국,액션
1,1,20170201,OLD,20151228,공조,2017-01-18 00:00:00,1416506700,48,189579,1075,5290,Confidential Assignment,액션,한국,액션
2,2,20170201,OLD,20151229,더 킹,2017-01-18 00:00:00,689402400,23.3,92503,909,3982,The King,"범죄,드라마",한국,범죄
3,3,20170201,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,224355000,7.6,29001,497,1727,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
8,8,20170201,OLD,20168154,딥워터 호라이즌,2017-01-25 00:00:00,20698300,0.7,2845,218,392,Deepwater Horizon,"액션,드라마",미국,액션
1,1,20170202,OLD,20151228,공조,2017-01-18 00:00:00,1306151800,43.3,174342,998,5011,Confidential Assignment,액션,한국,액션
2,2,20170202,OLD,20151229,더 킹,2017-01-18 00:00:00,587350500,19.5,78761,827,3523,The King,"범죄,드라마",한국,범죄
4,4,20170202,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25 00:00:00,167024200,5.5,21561,446,1341,Resident Evil: The Final Chapter,"액션,공포(호러),SF,스릴러",미국,액션
